,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
265,Somalia,Galgaduud,2006,7,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
266,Somalia,Galgaduud,2006,6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
267,Somalia,Galgaduud,2006,5,1,1,0,0,0,6.0,0.0,0.0,0.0,0.0
268,Somalia,Galgaduud,2006,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
269,Somalia,Galgaduud,2006,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
270,Somalia,Galgaduud,2006,1,4,0,0,0,0,67.0,0.0,0.0,0.0,0.0
271,Somalia,Galgaduud,2005,11,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
272,Somalia,Galgaduud,2005,10,3,0,0,0,0,9.0,0.0,0.0,0.0,0.0
273,Somalia,Galgaduud,2005,8,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
274,Somalia,Galgaduud,2005,6,1,0,0,0,1,12.0,0.0,0.0,0.0,0.0
